gender	height
M	68
M	71
M	71
M	73
M	70
M	69
M	70
M	66
M	72
M	71
M	74
M	74
M	70
F	70
F	66
F	62
M	70
M	74
M	66
M	71
M	70
M	71
F	70
F	67
M	67
F	69
M	69
M	72
F	63
F	66
M	72
F	70
M	72
F	63
M	74
F	66
F	64
M	68
M	71
F	67
M	71
M	70
M	70.5
M	70
M	66.5
M	64
M	74
M	70
M	69.5
M	77
F	67
M	75
F	67
F	65
F	65
M	73
F	65
M	72
M	67
M	73
M	71
M	69
M	72
M	67
F	66
M	67
F	67
M	71
M	70
F	67
M	72
M	69
M	69
F	62
F	67
F	64
M	68
F	68
M	76
F	66
F	64.9
F	68
M	67
M	71
M	68
M	72
M	71.26
M	71
F	66
M	72
M	70
F	67
M	71
